Material,Date,Cost (kg)
ABS,2021-01-10 15:45:00,$29.0
ABS,2021-01-10 16:00:00,$27.2
ABS,2021-01-10 16:15:00,$18.0
ABS,2021-01-10 16:30:00,$37.0
ABS,2021-01-10 16:45:00,$40.2
ABS,2021-01-10 17:00:00,$26.8
ABS,2021-01-10 17:15:00,$29.4
ABS,2021-01-10 17:30:00,$28.4
ABS,2021-01-10 17:45:00,$31.8
ABS,2021-01-10 18:00:00,$33.8
ABS,2021-01-10 18:15:00,$33.0
ABS,2021-01-10 18:30:00,$35.0
ABS,2021-01-10 18:45:00,$30.6
ABS,2021-01-10 19:00:00,$23.4
ABS,2021-01-10 19:15:00,$22.4
PLA,2021-01-10 19:30:00,$13.6
ABS,2021-01-10 19:45:00,$25.0
PLA,2021-01-10 20:00:00,$2.8
PLA,2021-01-11 09:45:00,$3.4
ABS,2021-01-11 10:00:00,$23.6
PETG,2021-01-11 10:15:00,$17.0
ABS,2021-01-11 10:30:00,$26.4
ABS,2021-01-11 10:45:00,$26.8
ABS,2021-01-11 11:00:00,$23.8
ABS,2021-01-11 11:15:00,$21.6
ABS,2021-01-11 11:30:00,$29.2
ABS,2021-01-11 11:45:00,$27.2
ABS,2021-01-11 12:00:00,$24.6
ABS,2021-01-11 12:15:00,$25.0
ABS,2021-01-11 12:30:00,$26.2
ABS,2021-01-11 12:45:00,$22.8
ABS,2021-01-11 13:00:00,$24.0
ABS,2021-01-11 13:15:00,$31.6
ABS,2021-01-11 13:30:00,$17.6
ABS,2021-01-11 13:45:00,$29.8
ABS,2021-01-11 14:00:00,$25.2
ABS,2021-01-11 14:15:00,$18.2
ABS,2021-01-11 14:30:00,$22.0
ABS,2021-01-11 14:45:00,$27.6
ABS,2021-01-11 15:00:00,$31.2
ABS,2021-01-11 15:15:00,$20.6
ABS,2021-01-11 15:30:00,$19.2
ABS,2021-01-11 15:45:00,$39.8
ABS,2021-01-11 16:00:00,$25.2
ABS,2021-01-11 16:15:00,$36.0
ABS,2021-01-11 16:30:00,$17.6
ABS,2021-01-11 16:45:00,$36.0
ABS,2021-01-11 17:00:00,$23.8
ABS,2021-01-11 17:15:00,$23.6
ABS,2021-01-11 17:30:00,$35.4
ABS,2021-01-11 17:45:00,$23.4
ABS,2021-01-11 18:00:00,$32.0
ABS,2021-01-11 18:15:00,$38.2
ABS,2021-01-11 18:30:00,$27.4
ABS,2021-01-11 18:45:00,$34.4
ABS,2021-01-11 19:00:00,$26.2
ABS,2021-01-11 19:15:00,$21.0
ABS,2021-01-11 19:30:00,$27.2
PLA,2021-01-11 19:45:00,$7.8
PLA,2021-01-13 09:30:00,$0.6
PLA,2021-01-13 09:45:00,$13.4
PLA,2021-01-13 10:00:00,$7.0
ABS,2021-01-13 10:15:00,$17.4
ABS,2021-01-13 10:30:00,$18.0
ABS,2021-01-13 10:45:00,$17.4
ABS,2021-01-13 11:00:00,$17.2
ABS,2021-01-13 11:15:00,$21.8
ABS,2021-01-13 11:30:00,$23.6
PLA,2021-01-13 11:45:00,$16.8
ABS,2021-01-13 12:00:00,$29.2
PLA,2021-01-13 12:15:00,$16.2
ABS,2021-01-13 12:30:00,$17.4
ABS,2021-01-13 12:45:00,$23.0
ABS,2021-01-13 13:00:00,$24.6
ABS,2021-01-13 13:15:00,$27.6
ABS,2021-01-13 13:30:00,$22.2
ABS,2021-01-13 13:45:00,$17.6
PLA,2021-01-13 14:00:00,$11.0
PLA,2021-01-13 14:15:00,$16.0
ABS,2021-01-13 14:30:00,$18.6
PLA,2021-01-13 14:45:00,$14.8
PLA,2021-01-13 15:00:00,$12.6
ABS,2021-01-13 15:15:00,$19.0
ABS,2021-01-13 15:30:00,$26.2
ABS,2021-01-13 15:45:00,$23.6
ABS,2021-01-13 16:00:00,$26.8
ABS,2021-01-13 16:15:00,$27.2
ABS,2021-01-13 16:30:00,$28.2
ABS,2021-01-13 16:45:00,$28.0
ABS,2021-01-13 17:00:00,$26.4
ABS,2021-01-13 17:15:00,$25.6
ABS,2021-01-13 17:30:00,$20.4
ABS,2021-01-13 17:45:00,$26.8
ABS,2021-01-13 18:00:00,$35.2
ABS,2021-01-13 18:15:00,$27.2
ABS,2021-01-13 18:30:00,$20.2
ABS,2021-01-13 18:45:00,$27.4
ABS,2021-01-13 19:00:00,$32.2
PLA,2021-01-13 19:15:00,$16.0
PLA,2021-01-13 19:30:00,$12.2
PLA,2021-01-14 09:45:00,$5.4
PLA,2021-01-14 10:00:00,$12.4
PLA,2021-01-14 10:15:00,$11.4
PLA,2021-01-14 10:30:00,$12.8
ABS,2021-01-14 10:45:00,$20.6
ABS,2021-01-14 11:00:00,$19.2
ABS,2021-01-14 11:15:00,$20.6
ABS,2021-01-14 11:30:00,$18.2
PLA,2021-01-14 11:45:00,$7.8
ABS,2021-01-14 12:00:00,$28.0
ABS,2021-01-14 12:15:00,$23.0
ABS,2021-01-14 12:30:00,$18.2
ABS,2021-01-14 12:45:00,$30.6
PLA,2021-01-14 13:00:00,$13.0
PLA,2021-01-14 13:15:00,$14.8
ABS,2021-01-14 13:30:00,$23.0
ABS,2021-01-14 13:45:00,$17.6
PETG,2021-01-14 14:00:00,$17.0
PLA,2021-01-14 14:15:00,$15.4
ABS,2021-01-14 14:30:00,$21.6
ABS,2021-01-14 14:45:00,$17.2
PLA,2021-01-14 15:00:00,$14.6
PLA,2021-01-14 15:15:00,$15.2
ABS,2021-01-14 15:30:00,$19.4
ABS,2021-01-14 15:45:00,$23.4
PLA,2021-01-14 16:00:00,$14.8
PLA,2021-01-14 16:15:00,$16.2
ABS,2021-01-14 16:30:00,$19.8
ABS,2021-01-14 16:45:00,$26.6
PLA,2021-01-14 17:00:00,$16.4
ABS,2021-01-14 17:15:00,$29.8
ABS,2021-01-14 17:30:00,$23.0
ABS,2021-01-14 17:45:00,$23.2
ABS,2021-01-14 18:00:00,$28.6
ABS,2021-01-14 18:15:00,$17.4
PLA,2021-01-14 18:30:00,$14.8
ABS,2021-01-14 18:45:00,$23.0
PLA,2021-01-14 19:00:00,$9.0
PETG,2021-01-14 19:15:00,$17.0
PLA,2021-01-14 19:30:00,$11.8
PLA,2021-01-15 09:45:00,$5.4
PLA,2021-01-15 10:00:00,$12.2
PLA,2021-01-15 10:15:00,$15.2
PLA,2021-01-15 10:30:00,$16.6
ABS,2021-01-15 10:45:00,$25.8
ABS,2021-01-15 11:00:00,$25.4
PETG,2021-01-15 11:15:00,$17.0
ABS,2021-01-15 11:30:00,$28.0
ABS,2021-01-15 11:45:00,$29.8
PLA,2021-01-15 12:00:00,$15.0
ABS,2021-01-15 12:15:00,$18.2
ABS,2021-01-15 12:30:00,$28.8
ABS,2021-01-15 12:45:00,$22.8
PLA,2021-01-15 13:00:00,$12.0
PLA,2021-01-15 13:15:00,$14.0
ABS,2021-01-15 13:30:00,$24.0
ABS,2021-01-15 13:45:00,$17.2
ABS,2021-01-15 14:00:00,$23.2
ABS,2021-01-15 14:15:00,$28.4
PETG,2021-01-15 14:30:00,$17.0
PLA,2021-01-15 14:45:00,$15.4
PETG,2021-01-15 15:00:00,$17.0
ABS,2021-01-15 15:15:00,$20.2
PLA,2021-01-15 15:30:00,$13.2
PLA,2021-01-15 15:45:00,$14.2
ABS,2021-01-15 16:00:00,$17.8
PLA,2021-01-15 16:15:00,$14.0
ABS,2021-01-15 16:30:00,$20.8
ABS,2021-01-15 16:45:00,$21.0
ABS,2021-01-15 17:00:00,$25.4
ABS,2021-01-15 17:15:00,$27.6
ABS,2021-01-15 17:30:00,$18.0
ABS,2021-01-15 17:45:00,$29.2
ABS,2021-01-15 18:00:00,$34.8
ABS,2021-01-15 18:15:00,$17.2
ABS,2021-01-15 18:30:00,$24.0
ABS,2021-01-15 18:45:00,$21.6
PLA,2021-01-15 19:00:00,$15.4
PLA,2021-01-15 19:15:00,$16.2
PLA,2021-01-15 19:30:00,$9.2
PLA,2021-01-16 09:45:00,$12.6
ABS,2021-01-16 10:00:00,$17.2
ABS,2021-01-16 10:15:00,$19.0
PLA,2021-01-16 10:30:00,$12.8
ABS,2021-01-16 10:45:00,$26.0
PLA,2021-01-16 11:00:00,$16.2
ABS,2021-01-16 11:15:00,$21.2
PLA,2021-01-16 11:30:00,$16.6
ABS,2021-01-16 11:45:00,$25.8
ABS,2021-01-16 12:00:00,$25.8
ABS,2021-01-16 12:15:00,$26.8
ABS,2021-01-16 12:30:00,$20.4
ABS,2021-01-16 12:45:00,$17.6
ABS,2021-01-16 13:00:00,$26.8
PLA,2021-01-16 13:15:00,$9.0
ABS,2021-01-16 13:30:00,$26.2
PLA,2021-01-16 13:45:00,$12.0
PLA,2021-01-16 14:00:00,$15.8
ABS,2021-01-16 14:15:00,$20.2
ABS,2021-01-16 14:30:00,$19.0
PLA,2021-01-16 14:45:00,$13.6
ABS,2021-01-16 15:00:00,$18.2
ABS,2021-01-16 15:15:00,$18.6
ABS,2021-01-16 15:30:00,$17.8
PLA,2021-01-16 15:45:00,$9.8
ABS,2021-01-16 16:00:00,$21.6
PLA,2021-01-16 16:15:00,$15.0
ABS,2021-01-16 16:30:00,$25.2
ABS,2021-01-16 16:45:00,$24.2
ABS,2021-01-16 17:00:00,$23.0
ABS,2021-01-16 17:15:00,$27.4
ABS,2021-01-16 17:30:00,$18.8
PLA,2021-01-16 17:45:00,$14.4
ABS,2021-01-16 18:00:00,$35.2
ABS,2021-01-16 18:15:00,$20.4
ABS,2021-01-16 18:30:00,$22.2
ABS,2021-01-16 18:45:00,$25.2
PLA,2021-01-16 19:00:00,$15.8
PLA,2021-01-16 19:15:00,$9.2
PLA,2021-01-16 19:30:00,$12.6
PLA,2021-01-17 09:30:00,$2.4
PLA,2021-01-17 09:45:00,$15.0
PLA,2021-01-17 10:00:00,$14.8
PLA,2021-01-17 10:15:00,$16.0
ABS,2021-01-17 10:30:00,$30.0
ABS,2021-01-17 10:45:00,$26.8
ABS,2021-01-17 11:00:00,$26.8
ABS,2021-01-17 11:15:00,$40.8
ABS,2021-01-17 11:30:00,$29.0
ABS,2021-01-17 11:45:00,$28.6
ABS,2021-01-17 12:00:00,$23.8
ABS,2021-01-17 12:15:00,$33.2
ABS,2021-01-17 12:30:00,$24.6
ABS,2021-01-17 12:45:00,$18.4
ABS,2021-01-17 13:00:00,$23.4
ABS,2021-01-17 13:15:00,$21.2
ABS,2021-01-17 13:30:00,$30.0
ABS,2021-01-17 13:45:00,$32.4
ABS,2021-01-17 14:00:00,$18.4
ABS,2021-01-17 14:15:00,$28.2
ABS,2021-01-17 14:30:00,$18.2
ABS,2021-01-17 14:45:00,$19.2
ABS,2021-01-17 15:00:00,$28.0
PLA,2021-01-17 15:15:00,$16.4
ABS,2021-01-17 15:30:00,$26.0
ABS,2021-01-17 15:45:00,$43.0
ABS,2021-01-17 16:00:00,$27.0
ABS,2021-01-17 16:15:00,$23.2
ABS,2021-01-17 16:30:00,$25.2
ABS,2021-01-17 16:45:00,$40.8
ABS,2021-01-17 17:00:00,$25.0
ABS,2021-01-17 17:15:00,$27.6
ABS,2021-01-17 17:30:00,$33.8
ABS,2021-01-17 17:45:00,$31.4
ABS,2021-01-17 18:00:00,$28.6
ABS,2021-01-17 18:15:00,$19.0
ABS,2021-01-17 18:30:00,$25.4
ABS,2021-01-17 18:45:00,$18.2
PLA,2021-01-17 19:00:00,$10.4
ABS,2021-01-17 19:15:00,$17.8
PLA,2021-01-17 19:30:00,$2.0
PLA,2021-01-18 09:45:00,$10.6
PLA,2021-01-18 10:00:00,$10.4
ABS,2021-01-18 10:15:00,$30.4
ABS,2021-01-18 10:30:00,$32.6
ABS,2021-01-18 10:45:00,$26.2
ABS,2021-01-18 11:00:00,$23.0
ABS,2021-01-18 11:15:00,$29.6
ABS,2021-01-18 11:30:00,$36.8
ABS,2021-01-18 11:45:00,$20.6
ABS,2021-01-18 12:00:00,$26.0
ABS,2021-01-18 12:15:00,$22.8
ABS,2021-01-18 12:30:00,$39.2
ABS,2021-01-18 12:45:00,$30.4
ABS,2021-01-18 13:00:00,$37.2
ABS,2021-01-18 13:15:00,$42.2
ABS,2021-01-18 13:30:00,$34.6
ABS,2021-01-18 13:45:00,$24.8
ABS,2021-01-18 14:00:00,$32.2
ABS,2021-01-18 14:15:00,$48.2
ABS,2021-01-18 14:30:00,$30.4
ABS,2021-01-18 14:45:00,$30.2
ABS,2021-01-18 15:00:00,$25.8
ABS,2021-01-18 15:15:00,$30.8
ABS,2021-01-18 15:30:00,$30.4
ABS,2021-01-18 15:45:00,$33.0
ABS,2021-01-18 16:00:00,$28.6
ABS,2021-01-18 16:15:00,$28.2
ABS,2021-01-18 16:30:00,$26.4
ABS,2021-01-18 16:45:00,$42.0
ABS,2021-01-18 17:00:00,$34.2
ABS,2021-01-18 17:15:00,$36.4
ABS,2021-01-18 17:30:00,$37.6
ABS,2021-01-18 17:45:00,$26.0
ABS,2021-01-18 18:00:00,$20.4
ABS,2021-01-18 18:15:00,$29.2
ABS,2021-01-18 18:30:00,$38.2
ABS,2021-01-18 18:45:00,$17.2
ABS,2021-01-18 19:00:00,$36.2
ABS,2021-01-18 19:15:00,$31.0
PLA,2021-01-18 19:30:00,$11.0
PLA,2021-01-20 08:15:00,$0.4
PLA,2021-01-20 09:30:00,$2.0
ABS,2021-01-20 09:45:00,$20.2
PLA,2021-01-20 10:00:00,$13.8
ABS,2021-01-20 10:15:00,$25.6
ABS,2021-01-20 10:30:00,$22.4
ABS,2021-01-20 10:45:00,$17.2
ABS,2021-01-20 11:00:00,$24.4
PLA,2021-01-20 11:15:00,$12.6
PLA,2021-01-20 11:30:00,$14.8
ABS,2021-01-20 11:45:00,$22.8
ABS,2021-01-20 12:00:00,$20.4
ABS,2021-01-20 12:15:00,$35.2
ABS,2021-01-20 12:30:00,$27.0
PLA,2021-01-20 12:45:00,$13.6
PLA,2021-01-20 13:00:00,$14.6
ABS,2021-01-20 13:15:00,$24.2
ABS,2021-01-20 13:30:00,$23.0
ABS,2021-01-20 13:45:00,$31.0
PLA,2021-01-20 14:00:00,$12.4
ABS,2021-01-20 14:15:00,$19.4
PLA,2021-01-20 14:30:00,$11.4
PLA,2021-01-20 14:45:00,$16.4
ABS,2021-01-20 15:00:00,$23.6
ABS,2021-01-20 15:15:00,$22.2
ABS,2021-01-20 15:30:00,$20.0
ABS,2021-01-20 15:45:00,$25.4
ABS,2021-01-20 16:00:00,$25.0
ABS,2021-01-20 16:15:00,$33.8
ABS,2021-01-20 16:30:00,$23.6
ABS,2021-01-20 16:45:00,$32.6
ABS,2021-01-20 17:00:00,$30.4
ABS,2021-01-20 17:15:00,$26.2
ABS,2021-01-20 17:30:00,$21.4
ABS,2021-01-20 17:45:00,$20.0
ABS,2021-01-20 18:00:00,$22.4
ABS,2021-01-20 18:15:00,$22.8
ABS,2021-01-20 18:30:00,$20.6
ABS,2021-01-20 18:45:00,$22.8
ABS,2021-01-20 19:00:00,$24.6
PLA,2021-01-20 19:15:00,$9.0
ABS,2021-01-20 19:30:00,$17.2
PLA,2021-01-20 19:45:00,$14.8
PLA,2021-01-21 09:45:00,$6.2
PLA,2021-01-21 10:00:00,$7.6
PLA,2021-01-21 10:15:00,$6.0
PLA,2021-01-21 10:30:00,$12.0
ABS,2021-01-21 10:45:00,$24.8
PLA,2021-01-21 11:00:00,$13.2
ABS,2021-01-21 11:15:00,$22.4
PLA,2021-01-21 11:30:00,$9.0
PLA,2021-01-21 11:45:00,$8.6
ABS,2021-01-21 12:00:00,$21.0
PLA,2021-01-21 12:15:00,$15.8
ABS,2021-01-21 12:30:00,$20.4
ABS,2021-01-21 12:45:00,$22.4
ABS,2021-01-21 13:00:00,$23.6
PLA,2021-01-21 13:15:00,$8.2
PLA,2021-01-21 13:30:00,$13.0
PLA,2021-01-21 13:45:00,$16.4
PLA,2021-01-21 14:00:00,$13.4
PLA,2021-01-21 14:15:00,$12.4
ABS,2021-01-21 14:30:00,$24.0
ABS,2021-01-21 14:45:00,$18.6
PLA,2021-01-21 15:00:00,$12.8
ABS,2021-01-21 15:15:00,$17.2
PLA,2021-01-21 15:30:00,$14.4
ABS,2021-01-21 15:45:00,$17.2
PLA,2021-01-21 16:00:00,$16.6
PLA,2021-01-21 16:15:00,$9.0
ABS,2021-01-21 16:30:00,$20.8
ABS,2021-01-21 16:45:00,$23.8
ABS,2021-01-21 17:00:00,$17.2
PLA,2021-01-21 17:15:00,$13.6
ABS,2021-01-21 17:30:00,$27.4
PLA,2021-01-21 17:45:00,$14.2
ABS,2021-01-21 18:00:00,$28.8
ABS,2021-01-21 18:15:00,$26.2
ABS,2021-01-21 18:30:00,$33.6
ABS,2021-01-21 18:45:00,$18.2
PLA,2021-01-21 19:00:00,$15.6
ABS,2021-01-21 19:15:00,$26.8
PLA,2021-01-21 19:30:00,$9.8
PLA,2021-01-21 19:45:00,$12.4
PLA,2021-01-22 09:45:00,$9.6
PLA,2021-01-22 10:00:00,$9.8
PLA,2021-01-22 10:15:00,$9.8
PLA,2021-01-22 10:30:00,$11.0
ABS,2021-01-22 10:45:00,$22.6
ABS,2021-01-22 11:00:00,$24.4
ABS,2021-01-22 11:15:00,$29.8
ABS,2021-01-22 11:30:00,$21.2
PLA,2021-01-22 11:45:00,$9.2
ABS,2021-01-22 12:00:00,$18.6
ABS,2021-01-22 12:15:00,$23.2
ABS,2021-01-22 12:30:00,$27.6
ABS,2021-01-22 12:45:00,$22.2
PLA,2021-01-22 13:00:00,$15.6
PLA,2021-01-22 13:15:00,$13.4
PLA,2021-01-22 13:30:00,$14.2
PLA,2021-01-22 13:45:00,$14.8
ABS,2021-01-22 14:00:00,$22.2
ABS,2021-01-22 14:15:00,$21.0
ABS,2021-01-22 14:30:00,$23.6
ABS,2021-01-22 14:45:00,$20.8
ABS,2021-01-22 15:00:00,$19.6
PLA,2021-01-22 15:15:00,$13.6
ABS,2021-01-22 15:30:00,$35.4
ABS,2021-01-22 15:45:00,$27.0
ABS,2021-01-22 16:00:00,$42.0
PLA,2021-01-22 16:15:00,$13.4
ABS,2021-01-22 16:30:00,$22.4
ABS,2021-01-22 16:45:00,$19.4
ABS,2021-01-22 17:00:00,$38.2
ABS,2021-01-22 17:15:00,$23.0
ABS,2021-01-22 17:30:00,$26.2
ABS,2021-01-22 17:45:00,$21.0
ABS,2021-01-22 18:00:00,$27.2
ABS,2021-01-22 18:15:00,$23.2
ABS,2021-01-22 18:30:00,$24.4
PLA,2021-01-22 18:45:00,$4.8
PLA,2021-01-22 19:00:00,$11.0
ABS,2021-01-22 19:15:00,$20.8
PLA,2021-01-22 19:30:00,$3.6
PLA,2021-01-23 09:45:00,$4.8
ABS,2021-01-23 10:00:00,$20.6
PLA,2021-01-23 10:15:00,$8.4
PLA,2021-01-23 10:30:00,$16.6
ABS,2021-01-23 10:45:00,$29.4
ABS,2021-01-23 11:00:00,$22.2
PLA,2021-01-23 11:15:00,$12.0
PLA,2021-01-23 11:30:00,$15.4
ABS,2021-01-23 11:45:00,$17.2
PLA,2021-01-23 12:00:00,$14.2
ABS,2021-01-23 12:15:00,$21.2
ABS,2021-01-23 12:30:00,$19.2
ABS,2021-01-23 12:45:00,$19.0
PLA,2021-01-23 13:00:00,$16.0
ABS,2021-01-23 13:15:00,$24.2
ABS,2021-01-23 13:30:00,$18.6
PLA,2021-01-23 13:45:00,$13.6
ABS,2021-01-23 14:00:00,$22.2
ABS,2021-01-23 14:15:00,$18.6
ABS,2021-01-23 14:30:00,$27.4
ABS,2021-01-23 14:45:00,$19.8
ABS,2021-01-23 15:00:00,$19.4
PLA,2021-01-23 15:15:00,$15.0
ABS,2021-01-23 15:30:00,$19.8
ABS,2021-01-23 15:45:00,$22.2
PLA,2021-01-23 16:00:00,$12.4
ABS,2021-01-23 16:15:00,$19.2
PLA,2021-01-23 16:30:00,$14.6
ABS,2021-01-23 16:45:00,$20.0
PLA,2021-01-23 17:00:00,$16.2
ABS,2021-01-23 17:15:00,$33.2
ABS,2021-01-23 17:30:00,$18.2
ABS,2021-01-23 17:45:00,$27.0
ABS,2021-01-23 18:00:00,$22.2
PLA,2021-01-23 18:15:00,$11.2
ABS,2021-01-23 18:30:00,$19.8
ABS,2021-01-23 18:45:00,$25.4
ABS,2021-01-23 19:00:00,$21.0
ABS,2021-01-23 19:15:00,$27.0
PLA,2021-01-23 19:30:00,$13.2
PLA,2021-01-23 19:45:00,$4.8
PLA,2021-01-24 10:00:00,$4.4
ABS,2021-01-24 10:15:00,$17.2
ABS,2021-01-24 10:30:00,$33.0
ABS,2021-01-24 10:45:00,$21.0
ABS,2021-01-24 11:00:00,$23.2
ABS,2021-01-24 11:15:00,$25.8
ABS,2021-01-24 11:30:00,$31.2
ABS,2021-01-24 11:45:00,$40.8
ABS,2021-01-24 12:00:00,$33.4
ABS,2021-01-24 12:15:00,$23.6
ABS,2021-01-24 12:30:00,$18.4
ABS,2021-01-24 12:45:00,$35.2
ABS,2021-01-24 13:00:00,$21.4
ABS,2021-01-24 13:15:00,$26.4
PLA,2021-01-24 13:30:00,$16.6
ABS,2021-01-24 13:45:00,$19.6
ABS,2021-01-24 14:00:00,$17.6
PLA,2021-01-24 14:15:00,$16.0
ABS,2021-01-24 14:30:00,$29.4
PLA,2021-01-24 14:45:00,$16.2
ABS,2021-01-24 15:00:00,$23.0
ABS,2021-01-24 15:15:00,$25.6
ABS,2021-01-24 15:30:00,$23.0
ABS,2021-01-24 15:45:00,$17.8
ABS,2021-01-24 16:00:00,$26.2
PLA,2021-01-24 16:15:00,$12.8
